track_id,track,album,release_year,artists,popularity,genre,year_range
,So Afraid of Losing You Again,So Afraid Of Losing You Again,2024,Danielia Cotton,34,blues,2020-2024
,Between Me and the Devil,A Little Calamity,2021,Ghost Hounds,45,blues,2020-2024
,Kiss of Love,Relaxing Blues,2024,Shen Lab,42,blues,2020-2024
,Ruby,True Genius,2021,Ray Charles,39,blues,2020-2024
,Draw The Line,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,37,blues,2020-2024
,Beating Heart,Beating Heart,2022,Half Light Music,37,blues,2020-2024
,Mellow Down,Mellow Down,2024,Paul Bradley Atkinson,31,blues,2020-2024
,Have a Ball,If These Walls Could Talk,2022,Luke Winslow-King,39,blues,2020-2024
,A Song for You,True Genius,2021,Ray Charles,36,blues,2020-2024
,Moondance,The Best of Bublé,2024,Michael Bublé,33,blues,2020-2024
,It Ain't Over,Dropout Boogie,2022,The Black Keys,42,blues,2020-2024
,Holler,Shepherd,2024,Bywater Call,36,blues,2020-2024
,Stormy Monday feat. Beth Hart,Orgy of the Damned,2024,"Slash, Beth Hart",39,blues,2020-2024
,Two Lonely Souls,Got No More Time,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",42,blues,2020-2024
,Eventually,Beautiful Dreams,2023,Acantha Lang,31,blues,2020-2024
,Running Through My Mind,What's the Sun Without the Rain?,2024,GeeJay,39,blues,2020-2024
,Unknown Brother,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,37,blues,2020-2024
,Half My Fault,A Little Calamity,2021,Ghost Hounds,44,blues,2020-2024
,Something on Me,Something on Me,2020,"Snowy White, The White Flames",36,blues,2020-2024
,Believer,Believer (Stripped Back),2024,Liam St. John,54,blues,2020-2024
,Walking Blues,Walking Blues,2020,"Playing For Change, Keb' Mo', Roberto Luti, Nico Bereciartua, Chris Pierce",37,blues,2020-2024
,Hard to Love,Bonneville,2023,Bonneville,30,blues,2020-2024
,Tennessee Whiskey / I'd Rather Go Blind,Low Key Soul Sessions,2024,Milk'n Blues,38,blues,2020-2024
,My Lucky Card,Hardware,2021,Billy F Gibbons,38,blues,2020-2024
,Walk Away,Walk Away,2024,"Honeybear, the Band",30,blues,2020-2024
,Right By Your Side,The Love You Bleed,2024,Danielle Nicole,37,blues,2020-2024
,Summertime (Live),Blues From The Heart Live (Live),2022,"Joanne Shaw Taylor, Joe Bonamassa",39,blues,2020-2024
,Remedy,A Place to Stay,2023,Ivan Hartle,41,blues,2020-2024
,Country Child,Sharecropper's Son,2021,Robert Finley,33,blues,2020-2024
,Drifting Sage,Drifting Sage,2022,Don Louis,57,blues,2020-2024
,Gone Without Goodbye,Boots & Blues,2024,Lance and Lea,39,blues,2020-2024
,When I'm With You,Starting Over,2020,Chris Stapleton,54,blues,2020-2024
,Walking Wounded,United State of Mind,2020,"Robin Trower, Maxi Priest, Livingstone Brown",38,blues,2020-2024
,Let's Waste Some Time,Let's Waste Some Time,2023,"Gary Tunes, Eric Blues, Red Whiskey",41,blues,2020-2024
,That's What Love Will Make You Do,S.O.S. 4: Blues For Your Soul,2023,"Marc Broussard, Joe Bonamassa",40,blues,2020-2024
,Poor Boy a Long Way From Home,Delta Kream,2021,The Black Keys,41,blues,2020-2024
,Keep On Rollin,Keep On Rollin,2022,King George,62,blues,2020-2024
,Pretend I Don't Need You,Sun & The Saint,2024,Sun & The Saint,31,blues,2020-2024
,What About The Children,JPEG RAW,2024,"Gary Clark Jr., Stevie Wonder",41,blues,2020-2024
,Put That Back,Crown,2022,Eric Gales,38,blues,2020-2024
,Good Times,Closer,2024,AJ Fullerton,40,blues,2020-2024
,662,662,2021,"Christone ""Kingfish"" Ingram",42,blues,2020-2024
,Another Life Goes By,662,2021,"Christone ""Kingfish"" Ingram",40,blues,2020-2024
,Let It Ride,Hidden Gems,2021,The Blue Stones,45,blues,2020-2024
,"Talkin' Ugly Truth, Tellin' Pretty Lies","Talkin' Ugly Truth, Tellin' Pretty Lies",2024,Bruce Sudano,32,blues,2020-2024
,I Wish I Knew How It Would Feel to Be Free (Live – Montreux Jazz Festival 1976),I Wish I Knew How It Would Feel to Be Free (Live – Montreux Jazz Festival 1976),2021,Nina Simone,32,blues,2020-2024
,Late Night Blues,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",43,blues,2020-2024
,United Nations Stomp,Where Do We Go From Here,2021,"Dumpstaphunk, Marcus King",40,blues,2020-2024
,Buckle Up!,A Drive-By Love Affair,2021,The Kokomo Kings,36,blues,2020-2024
,Forget Yourself,Woman Mind of My Own,2021,Natalia M. King,33,blues,2020-2024
,Them That Got,True Genius,2021,Ray Charles,38,blues,2020-2024
,In the Midnight Hour,In the Midnight Hour,2020,Handsome Jack,35,blues,2020-2024
,Save Me,High Time,2023,Jay Howie,38,blues,2020-2024
,Colours Start To Run,Shining in the Half Light,2022,Elles Bailey,37,blues,2020-2024
,Spiraling,Spiraling,2023,Danielle Ponder,37,blues,2020-2024
,Next Time You Call,Raise Your Hand,2021,Mike Andersen,36,blues,2020-2024
,Take Me Home,Slow Blues,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",40,blues,2020-2024
,We Merge - Live,LIVE with LOOPER No.1,2023,Markus K.,37,blues,2020-2024
,When Eden Was My Girl (feat. Marcus King),When Eden Was My Girl (feat. Marcus King),2023,"Ida Mae, Marcus King",39,blues,2020-2024
,Feeling Good,Slow Blues,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",40,blues,2020-2024
,Maybe Someday,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,39,blues,2020-2024
,Falls Away,Remain,2022,Bywater Call,34,blues,2020-2024
,Scorned,Scorned,2023,Kira Mac,36,blues,2020-2024
,Crawling Kingsnake,Delta Kream,2021,The Black Keys,42,blues,2020-2024
,Laughing No More,Laughing No More,2023,"Eric Blues, Lost in Blues, Blues Whiskey",40,blues,2020-2024
,Testify - Radio Edit,Testify (Radio Edit),2023,These Wicked Rivers,39,blues,2020-2024
,Mr. Robert,DSM III,2022,Dirty Sound Magnet,38,blues,2020-2024
,Heard It On The X,RAW (‘That Little Ol' Band From Texas’ Original Soundtrack),2022,ZZ Top,36,blues,2020-2024
,Looking for a Reason,Reckoners,2024,"Reckoners, Susan Tedeschi",36,blues,2020-2024
,Going Down South,Delta Kream,2021,The Black Keys,40,blues,2020-2024
,I Can't Live Without Blues,I Can't Live Without Blues,2024,OdinMann,37,blues,2020-2024
,Virginia Highway,Virginia Highway,2020,Tigerblood Jewel,46,blues,2020-2024
,Hot Love,Relaxing Blues,2024,Shen Lab,40,blues,2020-2024
,Chillout Blues,Chillout Blues,2024,OdinMann,37,blues,2020-2024
,Read Em And Weep,Ohio Players (Trophy Edition),2024,The Black Keys,34,blues,2020-2024
,L'hotel Serein,L'hotel Serein,2022,All Them Witches,39,blues,2020-2024
,King without a Crown,1975,2024,Malted Milk,36,blues,2020-2024
,Chronicles of a Diamond,Chronicles of a Diamond,2023,Black Pumas,31,blues,2020-2024
,Leave This House,Open Road,2021,Colin James,38,blues,2020-2024
,Blues Worse Than I Ever Had,Young Blood,2022,Marcus King,41,blues,2020-2024
,Blue,The Long Road,2023,Jacquelyn Baxter,36,blues,2020-2024
,Disappearing Man,Hurricane Town,2022,John Haydock,35,blues,2020-2024
,Soulful Smooth Guitar,Vintage Swing Guitar Jazz - Timeless Melodies Rhythmic Grooves,2024,Chilled Blues,40,blues,2020-2024
,Slow Road to Redemption,Slow Road to Redemption,2024,Eva Carboni,35,blues,2020-2024
,Thinking 'Bout Myself,Push The Blues Away,2020,"Ash Grunwald, Josh Teskey",37,blues,2020-2024
,True Intentions,True Intentions,2024,Neville James Martin,40,blues,2020-2024
,Moon River,Moon River,2023,"Eric Clapton, Jeff Beck",36,blues,2020-2024
,Feeling Good,Cruella (Original Motion Picture Soundtrack),2021,Nina Simone,41,blues,2020-2024
,Toccata,Lighter Notes,2024,Luca Sestak,42,blues,2020-2024
,Sticks and Stones,Unreleased,2020,Oli Brown,36,blues,2020-2024
,Headed For The Stars,Navigation Blues,2022,Thorbjørn Risager & The Black Tornado,38,blues,2020-2024
,"No Money, Nor Faith (Freedom)",Heaven Knows,2022,Mica Millar,34,blues,2020-2024
,One More Traveller,Something on Me,2020,"Snowy White, The White Flames",35,blues,2020-2024
,Blacksnake Blues,Blacksnake Blues,2022,All Them Witches,40,blues,2020-2024
,Winner (When it Comes to Losing),Muscle Shoals,2024,DeWolff,35,blues,2020-2024
,It's OK,It's OK,2023,Chuck Adams,41,blues,2020-2024
,For the Love of Money,Dropout Boogie,2022,The Black Keys,38,blues,2020-2024
,Call me King,The Tone Search Collection,2024,Steinar Ytrehus,35,blues,2020-2024
,Don't Let It Drag You Down,Don't Let It Drag You Down,2024,Halo Rider,32,blues,2020-2024
,One Shot,One Shot,2023,Bryan Elijah Smith,49,blues,2020-2024
,Hurtin,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,40,blues,2020-2024
,Make It All Work Out,Make It All Work Out,2023,Jesse Roper,42,blues,2020-2024
,Wonderful World,You Still Got Me,2024,Beth Hart,38,blues,2020-2024
,Call It Stormy Monday - Remastered 2024,In Session (Deluxe Edition / Remastered 2024),2024,"Albert King, Stevie Ray Vaughan",39,blues,2020-2024
,Hungry Sheep,Hungry Sheep,2023,Lena Morris,27,blues,2020-2024
,Shake You Off,Restless,2024,The Commoners,36,blues,2020-2024
,It Hurt So Bad,Just Won't Burn (25th Anniversary Deluxe Edition),2023,Susan Tedeschi,44,blues,2020-2024
,Bottom Cycle Blues,Bottom Cycle Blues,2020,Raul Midón,33,blues,2020-2024
,All Worked Out,All Worked Out,2023,Bryan Elijah Smith,43,blues,2020-2024
,Chaotic,Chaotic,2024,Stína Ágústsdóttir,27,blues,2020-2024
,He's Got the Whole World In His Hands,Love Me Or Leave,2023,Nina Simone,29,blues,2020-2024
,Can't Find A Good Reason,Raisin' Cain,2021,Chris Cain,35,blues,2020-2024
