track_id,track,album,release_year,artists,popularity,genre,year_range
,Griftwood,IMPERA,2022,Ghost,59,metal,2020-2024
,Archangel,Manifest,2020,Amaranthe,57,metal,2020-2024
,Welcome To The Circus,AfterLife,2022,Five Finger Death Punch,64,metal,2020-2024
,Hunter’s Moon,IMPERA,2022,Ghost,59,metal,2020-2024
,Ascensionism,Take Me Back To Eden,2023,Sleep Token,67,metal,2020-2024
,Genocidal Humanoidz,Protect The Land / Genocidal Humanoidz,2020,System Of A Down,59,metal,2020-2024
,Hellraiser - 30th Anniversary Edition,Hellraiser (30th Anniversary Edition),2021,"Ozzy Osbourne, Lemmy, Motörhead",60,metal,2020-2024
,21 Gun Salute,Shame On Me,2023,Catch Your Breath,65,metal,2020-2024
,when we were young,the classic symptoms of a broken spirit,2022,Architects,59,metal,2020-2024
,Days Of Future Past,Senjutsu,2021,Iron Maiden,52,metal,2020-2024
,Moonlight Rendezvous,Dark Connection,2021,Beast In Black,55,metal,2020-2024
,Forgotten,Vol. 1,2024,The Plot In You,66,metal,2020-2024
,Lost in Echoes,Lost Souls,2021,Caskets,63,metal,2020-2024
,Yen,"The End, So Far",2022,Slipknot,59,metal,2020-2024
,sTraNgeRs,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,61,metal,2020-2024
,Atlantic,This Place Will Become Your Tomb,2021,Sleep Token,65,metal,2020-2024
,"Turn It Up, Bitch",STILL SUCKS,2021,Limp Bizkit,60,metal,2020-2024
,Adieu,Zeit,2022,Rammstein,59,metal,2020-2024
,Power Of The Beast,Power Of The Beast,2024,Beast In Black,53,metal,2020-2024
,A Work of Art,A Work of Art (feat. Shavo of System of a Down),2024,"Ice Nine Kills, SHAVO",64,metal,2020-2024
,There’s Fear In Letting Go,TRUE POWER,2022,I Prevail,64,metal,2020-2024
,Patient Number 9 (feat. Jeff Beck),Patient Number 9 (feat. Jeff Beck),2022,"Ozzy Osbourne, Jeff Beck",60,metal,2020-2024
,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),POST HUMAN: NeX GEn,2024,"Bring Me The Horizon, Lil Uzi Vert, Daryl Palumbo, Glassjaw",59,metal,2020-2024
,Meet Your Maker,Foregone,2023,In Flames,57,metal,2020-2024
,Screaming Suicide,72 Seasons,2023,Metallica,53,metal,2020-2024
,bad decisions,THE DEATH OF PEACE OF MIND,2022,Bad Omens,62,metal,2020-2024
,Euclid,Take Me Back To Eden,2023,Sleep Token,67,metal,2020-2024
,Vore,Take Me Back To Eden,2023,Sleep Token,65,metal,2020-2024
,Divide,Vol. 1,2024,The Plot In You,65,metal,2020-2024
,a bulleT w/ my namE On (feat. Underoath),POST HUMAN: NeX GEn,2024,"Bring Me The Horizon, Underoath",59,metal,2020-2024
,Black Thunder (feat. Serj Tankian and DL of Bad Wolves),Rumble of Thunder (Deluxe),2023,"The HU, Serj Tankian, Bad Wolves, Daniel Laskiewicz",58,metal,2020-2024
,Hangfire,What If I Break?,2023,Wind Walkers,65,metal,2020-2024
,Kaunaz Dagaz,Emblas Saga,2020,Brothers of Metal,56,metal,2020-2024
,QWERTY,Papercuts,2024,Linkin Park,57,metal,2020-2024
,Master of Puppets,"Stranger Things: Soundtrack from the Netflix Series, Season 4",2022,Metallica,57,metal,2020-2024
,Pain Remains I: Dancing Like Flames,Pain Remains,2022,Lorna Shore,63,metal,2020-2024
,Master of Illusion,Circus Of Doom,2022,Battle Beast,53,metal,2020-2024
,DArkSide,DArkSide,2023,Bring Me The Horizon,58,metal,2020-2024
,Kaisarion,IMPERA,2022,Ghost,57,metal,2020-2024
,Ride of the Valkyries,Emblas Saga,2020,Brothers of Metal,55,metal,2020-2024
,Fight Fire With Gasoline,You Are Only As Sick As Your Secrets,2023,Self Deception,58,metal,2020-2024
,Sainted by the Storm,Interludium (Deluxe Version),2023,Powerwolf,54,metal,2020-2024
,Becoming,Servant Of The Mind (Deluxe),2021,Volbeat,56,metal,2020-2024
,82nd All the Way,Manifest (Bonus Version),2022,Amaranthe,54,metal,2020-2024
