track,album,release_year,artists,popularity,genre
Lois Lang,Beautiful Dreams,2023,Acantha Lang,33,blues
I Want My Crown,Crown,2022,"Eric Gales, Joe Bonamassa",39,blues
Black Magic Woman,Black Magic Woman,2023,Joe Robinson,37,blues
Rock Me Baby,RTL & BD Music Present B.B. King,2022,B.B. King,32,blues
A Song for You,True Genius,2021,Ray Charles,37,blues
Blues On The Bay,A Savage Life,2022,Dom Martin,42,blues
Broken & Blue,Real Gone,2023,"Ally Venable, Joe Bonamassa",41,blues
Never Gonna Give You Up,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,40,blues
Changing Suits,Come Up Kid,2024,Jax Hollow,41,blues
Completely Naked For You,Striptease Music,2024,Nectar & Nymphs,43,blues
I'm Not the One,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,38,blues
Fly me to the moon,Fly me to the moon,2022,Julia Volk,32,blues
Smoking Gun,Smoking Gun (Sped Up),2023,Robert Cray,44,blues
You Make a Home,You Make a Home,2024,Adam Knight,40,blues
Oh Well feat. Chris Stapleton,Orgy of the Damned,2024,"Slash, Chris Stapleton",48,blues
Amsterdamn Bluezs,Meervaart Studio Vol. 2,2022,Dali,38,blues
When It Gets Dark,When It Gets Dark,2024,Bryan Elijah Smith,51,blues
Country Boy,Sharecropper's Son,2021,Robert Finley,37,blues
I Can't Stop Loving You,True Genius,2021,Ray Charles,43,blues
Killing Floor feat. Brian Johnson,Orgy of the Damned,2024,"Slash, Brian Johnson",41,blues
Will I See You Again - Radio Edit,Will I See You Again,2022,Mica Millar,37,blues
Chocolate Samurai,Have You Lost Your Mind yet?,2020,Fantastic Negrito,33,blues
Push The Blues Away,Push The Blues Away,2020,"Ash Grunwald, Josh Teskey",43,blues
I Want To Go Back Home,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,36,blues
That's What You Do,662,2021,"Christone ""Kingfish"" Ingram",43,blues
Holy Ghost Fire,Self Made Man,2020,Larkin Poe,36,blues
Only Love Matters,Ohio Players,2024,The Black Keys,40,blues
I Met a Man,I Met a Man,2024,Matt McClure,47,blues
Blues For You,Back to the Blues,2024,Dimitris Loizos,41,blues
Maggot Brain Cover,Maggot Brain Cover,2024,Dimitris Loizos,42,blues
In My Blood,Resurrection,2021,Mike Zito,36,blues
Phaedra,New Blood,2021,Lena Morris,33,blues
Sad Love Blues,Sad Love Blues,2022,OdinMann,41,blues
Fever,The Best of Bublé,2024,Michael Bublé,34,blues
Dreamers Ball,Dreamers Ball,2023,Rebecca Poole,37,blues
Stormy Monday Blues,NOW Blues Classics,2020,T-Bone Walker,35,blues
Always Free,Love Transcends,2021,Jackie Venson,40,blues
Anyway,Carbrook,2024,"Archie Baker, Courtney Wilson",37,blues
I'll Play the Blues for You,I'll Play the Blues for You,2022,"Daniel Castro, Flavio Motta",43,blues
My Baby Just Cares For Me - HONNE Remix,My Baby Just Cares For Me (HONNE Remix),2022,"Nina Simone, HONNE",45,blues
Keep On Rollin,Keep On Rollin,2022,King George,62,blues
Drifting Sage,Drifting Sage,2022,Don Louis,57,blues
Blue Moon,Blue Moon,2022,The Jazz Woman,33,blues
Believer,Believer (Stripped Back),2024,Liam St. John,54,blues
Let It Ride,Hidden Gems,2021,The Blue Stones,45,blues
Right By Your Side,The Love You Bleed,2024,Danielle Nicole,37,blues
Draw The Line,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,36,blues
The Mule,The Mule,2023,"The Mystix, Larry Campbell",38,blues
Remedy,A Place to Stay,2023,Ivan Hartle,41,blues
My Lucky Card,Hardware,2021,Billy F Gibbons,37,blues
Unknown Brother,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,37,blues
Chronicles of a Diamond,Chronicles of a Diamond,2023,Black Pumas,31,blues
