track,album,release_year,artists,popularity,genre
Quiet Nights Of Quiet Stars (Corcovado),Quiet Nights Of Quiet Stars (Corcovado),2024,Lara Louise,45,jazz
Our Time,Our Time,2024,Timothy Reisen,54,jazz
Georgia on My Mind,True Genius,2021,Ray Charles,60,jazz
i've got a crush on you,i've got a crush on you,2023,Hunter Paige,52,jazz
L´amore in silenzio,L´amore in silenzio,2024,Michael Lavigne,55,jazz
Time After Time,Time After Time,2024,Urban Jazz Junction,52,jazz
Banks of Noon,Banks of Noon,2022,The Lyon Hearts,51,jazz
Ask Me Now,Back to the Roots,2024,"Erik von Spreckelsen, Marek Konarski",47,jazz
Hidden Harmonies,Hidden Harmonies,2023,Duponte et Duponte,51,jazz
In Your Arms,In Your Arms,2024,Noah Henderson,54,jazz
Stars Above,Stars Above,2023,Nordic Light Trio,52,jazz
Horizon,Horizon,2024,Luke Marantz Trio,50,jazz
Solitude,Standards by the Nordic Quintet,2024,"Ari Bragi Kárason, Karl-Martin Almqvist, Carl Winther, Anders Mogensen",48,jazz
Take on Me,Take on Me,2022,Kaiak,44,jazz
I Just Called To Say I Love You - Instrumental Jazz Version,Reimagined Oldies,2024,"Tranquil Jazz Trio, Jazz Covers Club",39,jazz
Romeo's Mood,Romeo's Mood,2022,6th Street Jazz,47,jazz
New Attitude,New Attitude,2024,"Club des Belugas, Ester Rada",42,jazz
Lonely Desires,Lonely Desires,2023,Amir Patel,46,jazz
Strangest Sea,Strangest Sea,2023,Grayville Trio,51,jazz
Maze of Tranquility,Maze of Tranquility,2022,Martin Landström,49,jazz
Habanera,Lookin' Up,2022,Armel Dupas Trio,47,jazz
Easier Said Than Done,The Collection Vol. 1 & 2,2021,Shakatak,45,jazz
Maneiro,Maneiro,2024,Eric Merlino,46,jazz
I'll Take Romance,I'll Take Romance,2022,Cecil Andrews,48,jazz
Everything Happens to Me,Samara Joy,2021,Samara Joy,50,jazz
Something about him,Something about him,2023,Bruce Willmington & Co,48,jazz
Un homme et une femme,Frenchy (Deluxe Version),2020,"Thomas Dutronc, Stacey Kent",48,jazz
Where I Live,Where I Live,2024,Tom Francis,52,jazz
The Very Thought Of You,The Very Thought Of You,2022,Rudy Winston,51,jazz
Lovestrung,Lovestrung,2024,Rossdale Junction,52,jazz
Buachaille Etive Mor,Lost in the Highlands,2023,Saphena Trio,51,jazz
Exquisite Mood,Luna,2020,Richard Freeman,45,jazz
Love Song,Sunset In The Blue (Deluxe Version),2021,"Melody Gardot, Ibrahim Maalouf",45,jazz
They Didn't Believe Me,Best Of Beegie Adair: Jazz Piano Performances,2021,Beegie Adair,48,jazz
My Way,Chansons,2021,Chiara Civello,40,jazz
Volare,Street of Dreams,2020,Ellie Johnson Trio,47,jazz
First Song,First Song,2024,Melody Gardot,44,jazz
Express Cafe,Summer Cafe,2020,Richard Freeman,46,jazz
Autumn Once Again,Autumn Once Again,2022,CMC 3,51,jazz
Clouds Across the Sky,Clouds Across the Sky,2024,Joyce Trio,52,jazz
Smile,Smile,2023,Otis Kane,48,jazz
The Days Of Wine And Roses,The Days Of Wine And Roses,2023,Kingsley Thomas,50,jazz
Balkis,ASTA 2,2023,"André Ceccarelli, Sylvain Beuf, Thomas Bramerie, Antonio Faraò",47,jazz
Closing Time,Closing Time,2023,The Southern Belle,51,jazz
Tess,Tess,2024,Teuteu,51,jazz
There's No Place For Me - Live,Live At Bird's Eye,2022,"Harry Allen, Martin Sasse",49,jazz
A Flower Is a Lovesome Thing,Straight Road,2022,"Gathering in Jazz, Claus Waidtløw, Heine Hansen, Anders Mogensen",47,jazz
Missed The Last Dance With You,Missed The Last Dance With You,2023,Original Three,48,jazz
Lonely as a Cloud,Lonely as a Cloud,2022,South North,50,jazz
Spring Can Really Hang You Up The Most,Spring Can Really Hang You Up The Most,2024,Mike Coen,52,jazz
I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking For,2022,Tom Rogers Band,43,jazz
You're All I Can Think Of,You're All I Can Think Of,2023,Original Three,49,jazz
"Ack Värmeland, Du Sköna",Art Roho Serving Hannes Bennich,2023,"Art Roho, Hannes Bennich",48,jazz
Acadia,Acadia,2023,Bobby Katz Quartet,48,jazz
Did you dream too,Did you dream too,2023,Noel Hayes,51,jazz
Doyers Street,Doyers Street,2024,Jakob München,54,jazz
Sunset In The Blue,Sunset In The Blue,2020,Melody Gardot,46,jazz
Belém,Belém,2023,Tyree,46,jazz
Dim The Lights,Dim The Lights,2024,Wes Ivory,54,jazz
The Lights,The Lights,2024,Anthony Hide Trio,51,jazz
November Fall,November Fall,2024,Farmer Street Quartet,50,jazz
Deja Vu,Deja Vu,2024,"dublon, Con Cook",51,jazz
The Foolish Heart,The Foolish Heart,2023,Cara Myers Trio,52,jazz
Lullaby for Dreaming,Lullaby for Dreaming,2024,"Alex Bird, Ewen Farncombe, Cheo",44,jazz
Come on... Lucky!,Come on... Lucky!,2023,The Three Queens,50,jazz
Blue Moon,Blue Moon,2023,Mark Roswell Trio,49,jazz
Sparks - Instrumental,Sparks (Instrumental),2024,Evan Jacobson,55,jazz
Follow The Light,Lookin' Up,2022,Armel Dupas Trio,49,jazz
Only A Few Will Know,Only A Few Will Know,2024,Portiere Woodtar,53,jazz
Another Night,Another Night,2024,Kyrie Barnes,53,jazz
Hope,Timba a la Americana,2023,Harold López-Nussa,50,jazz
Hallelujah,Here It Is: A Tribute to Leonard Cohen,2022,"Here It Is, Sarah McLachlan",42,jazz
Railroad Tracks,Railroad Tracks,2024,Tiril Brandt,50,jazz
Valse de la Rose,Valse de la Rose,2023,Les Petits Parisians,50,jazz
O Pato,O Pato,2022,"Nate Najar, Daniela Soledade",43,jazz
Round Midnight,Round Midnight,2023,The Mellowtones,47,jazz
What a Wonderful World,Dreamers Do,2020,Kat Edmonson,41,jazz
Prismatic Patterns,Prismatic Patterns,2024,The Belleville Band,52,jazz
You Gave Me That Look,You Gave Me That Look,2023,Original Three,49,jazz
Live Off The Juice,Live Off The Juice,2023,Garry Cooper Trio,50,jazz
All The Sunsets,All The Sunsets,2024,Midnight Trio,51,jazz
Praia à noite,Praia à noite,2020,C. Moreira,45,jazz
But Not For Me,But Not For Me,2024,Riley Cobb,54,jazz
Just A Dream,Bells On Sand,2022,"Gerald Clayton, MARO",43,jazz
Rust (feat. Tom Misch),Black Classical Music,2023,"Yussef Dayes, Tom Misch",49,jazz
These Are the Memories,These Are the Memories,2023,Emmaline,44,jazz
I Saw The Sun,I Saw The Sun,2022,Nick Osman Trio,48,jazz
"Hallelujah, I Love Him So",Ultimate Peggy Lee,2020,Peggy Lee,47,jazz
La belle vie - The Good Life,La belle vie - The Good Life,2020,"Thomas Dutronc, Jeff Goldblum",43,jazz
Make It Rain,Make It Rain,2024,Henning Witsell,51,jazz
Candy,Candy,2023,Irvin Smith Group,48,jazz
Bewitched,Bewitched,2022,Jaden Berry,46,jazz
The Way Things Go,The Way Things Go,2024,chromas,51,jazz
Cool Breeze,Cool Breeze,2023,Mino Conte & Co,48,jazz
Runaway - Nikko Mad Mix,Runaway (Nikko Mad Mix),2024,"Don & Gene, Nikko Mad",43,jazz
The Sound of Music,The Sound of Music,2024,Martina DaSilva,44,jazz
Love Will Last Forever,Love Will Last Forever,2022,Michael Stylez & Co,50,jazz
Speak Low,Speak Low,2023,Madeleine West,50,jazz
Where Two Oceans Meet,Where Two Oceans Meet,2023,North West Trio,50,jazz
The next day,The next day,2023,South North,49,jazz
You’re Always Waiting,You’re Always Waiting,2024,Hudson Harris & Haim,51,jazz
Silky Smooth,Silky Smooth,2023,Eira Eld,50,jazz
Out of Wilma,Out of Wilma,2022,Annie Berenson,48,jazz
Mandinga,Buena Vista Social Club (25th Anniversary Edition),2021,Buena Vista Social Club,44,jazz
Standing Strong,Standing Strong,2024,Gabriel Gonzalez,51,jazz
O Qué e Amar,O Qué e Amar,2023,Xavier Mendoza,45,jazz
Our Love Story,Our Love Story,2023,Ben & Katsy,50,jazz
Twilight's Last Waltz,Twilight's Last Waltz,2024,The Manhattan Trio,50,jazz
Zephyr,Santa Tereza,2023,Joao Silva Olivieira,45,jazz
You Fascinate Me So,You Fascinate Me So,2023,Pablo Ilanda Trio,46,jazz
Fleet Street,Fleet Street,2022,Marc Henley Trio,49,jazz
Bossa Carioca,Bossa Carioca,2024,Central Park Quartet,44,jazz
Everything I Love,Everything I Love,2022,Tom Rogers Band,46,jazz
Maua,Mestre Sala,2022,Joao Silva Olivieira,46,jazz
Reflections of Idle Days,Reflections of Idle Days,2024,Hamilton Reed Quartet,51,jazz
Journeying,Journeying,2023,The Don Mason Trio,49,jazz
Giant Steps - 2020 Remaster,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],2020,John Coltrane,49,jazz
Golden Earrings,Alone Together,2022,"Lara Louise, Grant Levin",43,jazz
Gentle Raindrops,Gentle Raindrops,2024,Julian Emerson,53,jazz
Search for Peace,Far Far Away,2023,"Jim Snidero, Kurt Rosenwinkel",44,jazz
Meet You Halfway,Crescent Moon,2023,Coffee Jazz Melody,52,jazz
Dry Bar,Dry Bar,2023,"Johny Luv, ØNEMOR3",49,jazz
Still you are,Still you are,2024,Adam Gallo,53,jazz
I Lead With My Heart,I Lead With My Heart,2022,The Brehms,43,jazz
What about us?,What about us?,2023,The Uptown Players,47,jazz
My Romance,My Romance,2024,Lara Louise,43,jazz
Bossa For Miles,Bossa for Miles,2024,"Gustav Lundgren Trio, Gustav Lundgren, Martin Hoper, Ola Bothzén",43,jazz
Golden Moments,Golden Moments,2024,Benjamin Davies,50,jazz
Love Grows,Love Grows,2024,Sidney Hatfield Trio,49,jazz
Another autumn,BLUE GIANT (オリジナル・サウンドトラック),2023,Hiromi,47,jazz
Vespertine,Vespertine,2023,Hiro Suzuki,44,jazz
Hear This Lullaby,Hear This Lullaby,2023,Baker St.,53,jazz
Let us go,Let us go,2024,Henriette Martin,53,jazz
I'll Never Be The Same,I'll Never Be The Same,2023,Algot Aelster,53,jazz
Shadows of Yesterday's Love,Shadows of Yesterday's Love,2024,Eltingvilles,51,jazz
In the Mood for Romance,In the Mood for Romance,2023,Sidney Hatfield Trio,49,jazz
Mellow Moments,Mellow Moments,2023,Leeluck & Co,49,jazz
Sweet Smile,Sweet Smile,2024,Velvet Groove,49,jazz
I Waited For You,I Waited For You,2024,Avery Miller,49,jazz
Bring Some Lovin',Bring Some Lovin',2022,Flatland Park,47,jazz
My One And Only Love,My One And Only Love,2022,Wonder Eve,49,jazz
Rio,Rio,2020,Nick Osman Trio,45,jazz
Too Marvelous for Words,Too Marvelous for Words,2024,Delicatessen,43,jazz
Home,Home,2024,Sven Grimm,53,jazz
I'll Know,I'll Know,2021,Bill Charlap Trio,47,jazz
Smile,Smile,2020,Rick Hale,44,jazz
This Lullaby,This Lullaby,2024,Grace Carey,51,jazz
Willow,Willow,2022,More than Jazz,49,jazz
A Lonely Night,A Lonely Night,2022,Irvin Smith,53,jazz
Just A Piece of My Heart,Romeo's Mood,2022,6th Street Jazz,47,jazz
"Just You, Just Me",This Dream Of You,2020,Diana Krall,45,jazz
Under My Sensi - Thievery Corporation Mix,Under My Sensi,2020,"Boozoo Bajou, Thievery Corporation",47,jazz
At Last,At Last,2022,High North Trio,46,jazz
Just For Tonight,Just For Tonight,2023,CMC 3,50,jazz
What’s It About?,What’s It About?,2024,Charles Daisey & Friends,50,jazz
From Paris with love,From Paris with love,2023,Eira Eld,50,jazz
They Said,They Said,2023,Wonder Eve,50,jazz
I'll Remember April,I'll Remember April,2023,Jean Fines,49,jazz
A Weaver of Dreams,Romance in Formosa,2022,Tim Lin,46,jazz
There Will Be Better Days,There Will Be Better Days,2023,Midnight Trio,47,jazz
I'll Tell You Something,Always Seem to Get Things Wrong,2021,Gabi Hartmann,42,jazz
A Man and a Woman,My Wonderland,2020,Simone Kopmajer,43,jazz
Turn and turn.,Turn and turn.,2024,Bolden.,51,jazz
In Your Arms,In Your Arms,2023,Emily Green Trio,48,jazz
Too Young To Go Steady,Too Young To Go Steady,2023,Angela Rowles,50,jazz
Not Nice At All,Not Nice At All,2023,Bridgerton Vail,48,jazz
Night in Tunisia,Departing,2020,"Jesus Molina, Sam Smith, Roni Kaspi",50,jazz
Tom's Diner,Tom's Diner,2023,Klischée,47,jazz
I've Drawn Your Face,I Love A Love Song!,2023,Rachael & Vilray,45,jazz
"Fugitive Ritual, Selah",The 7th Hand,2022,Immanuel Wilkins,43,jazz
Reverse,Gangbusters Melody Club,2024,Caravan Palace,38,jazz
Count to Three,Count to Three,2021,"The Chalkeaters, The Stupendium, Ellen McLain",51,jazz
I'll Be Seeing You,I'll Be Seeing You,2021,"Cyrille Aimee, Michael Valeanu",42,jazz
The Fate of Love,The Fate of Love,2023,Mino Conte & Co,48,jazz
Lumiére,Lumiére,2021,Emily Sage,44,jazz
Cononbridge,Where Will The River Flow,2021,"Matt Carmichael, Fergus McCreadie, Ali Watson, Tom Potter",50,jazz
A Certain Smile,A Certain Smile,2022,Donald Minestra,53,jazz
Fools Fate,Heaven Knows,2022,Mica Millar,42,jazz
I Will,I Will,2023,Loft Trio,48,jazz
Nightfall,Nightfall,2023,David Parks & Silver,49,jazz
Try Your Wings,Try Your Wings,2022,Silva & Steini,42,jazz
The Tinker,The Tinker,2022,Maruja,46,jazz
Home Of My Tomorrow,Home Of My Tomorrow,2022,Clover Post,47,jazz
Keep It Movin' - feat. Smashish,Keep It Movin' (feat. Smashish),2021,"Izzy Wise, Smashish",43,jazz
Serene Resonance,Serene Resonance,2024,Halcyon Jazz Band,50,jazz
May I Have This Dance,May I Have This Dance,2024,Gaston,48,jazz
Maybe We Should Dance,A Cookie For Marie,2023,Paul Moretti Trio,50,jazz
Tales of the Urban Night,Tales of the Urban Night,2024,Duponte et Duponte,47,jazz
A Flower Is A Lovesome Thing,A Flower Is A Lovesome Thing,2023,Saginaw Society,48,jazz
Living In Paradise,Jazz Coffee Shop,2023,"Cozy Coffee Shop, Jazzy Coffee, Cozy Bedroom",56,jazz
Why Did I Choose You,Reminiscing at Rudy's,2022,Houston Person,43,jazz
Lars,Lars,2024,Karl-Erik,52,jazz
If It Was,More Than You Know,2022,"Silva & Steini, Jóel Pálsson",41,jazz
Solitude,The Women Who Raised Me,2020,"Kandace Springs, Chris Potter",41,jazz
show me // something,show me // something,2023,Gianni´s Humble,51,jazz
Shores,Shores,2024,The Dox Band,52,jazz
Forever and Always,Forever and Always,2023,The Dox Band,49,jazz
Soft Lad,Soft Lad,2023,Tyrone Coates & Friends,49,jazz
Fool For Your Love,Fool For Your Love,2024,Paddington St. Group,49,jazz
How Deep Is The Ocean,How Deep Is The Ocean,2020,Diana Krall,42,jazz
Thank God It's Friday,Thank God It's Friday,2024,Mike Coen,46,jazz
autumn leaves,Coffee Time,2021,"Jazzy Coffee, Cozy Coffee Shop, Relaxing Piano Jazz",55,jazz
Empty Streets,Empty Streets,2024,Nollaig Paolo,53,jazz
Oceans,Oceans,2023,Jonathán Bridges,53,jazz
Nana,Nana,2023,Marcio Philomena,44,jazz
After You've Gone,After You've Gone,2023,Jonas Olofsson,49,jazz
Sno Peas,On A Misty Night,2020,Mandevilla,45,jazz
Clowns And Crowns,Clowns And Crowns,2023,Mike Coen,47,jazz
Urban Escape,Urban Escape,2024,Two steps in the street,52,jazz
Seu Sorriso,Seu Sorriso,2023,Eric Merlino,44,jazz
Clouds Got In Our Way,Clouds Got In Our Way,2024,Martin Hoper,47,jazz
São Conrado,São Conrado,2023,Tom Rogers Band,43,jazz
Over Yonder,Over Yonder,2024,Gus Anderson,48,jazz
I Left My Heart in San Francisco,I Left My Heart in San Francisco,2023,Leandro Amor Trio,44,jazz
If You Want,If You Want,2024,Randall Peterson,53,jazz
Whispered Longing,Whispered Longing,2024,Shay Walsh,50,jazz
Sparks (Adding Sax Solos To Songs That Don't Need Them),Sparks (Adding Sax Solos To Songs That Don't Need Them),2024,Evan Jacobson,54,jazz
É Preciso Perdoar,Hello,2024,"Martina DaSilva, Joshua Crumbly",42,jazz
Endless Days,Endless Days,2024,Mike Coen,50,jazz
Once In A While,Once In A While,2023,Bill Walton,48,jazz
Dead Mans Blues,American Shuffle,2021,Roy Williams,49,jazz
Paripaparapa,Paripaparapa,2021,"Chill & Groove, O Alan",40,jazz
Havent You Heard,Havent You Heard,2024,Joe M. Key,52,jazz
Eyes of a Child,Eyes of a Child,2024,Karl-Erik Trio,50,jazz
Anita's Dream,Anita's Dream,2023,Joe Wilson Trio,43,jazz
Between the Streets,Between the Streets,2024,Novo Alonso,52,jazz
Ain’t no sense,Ain’t no sense,2024,Southside Trio,49,jazz
Blues for a Lost Love,Blues for a Lost Love,2023,Reed Stricklers,48,jazz
La Javanaise,La Javanaise,2023,George Laffitte,48,jazz
You Were There,You Were There,2024,Måns & Dotter,51,jazz
Harbor of Dreams,Harbor of Dreams,2024,Julian Emerson,52,jazz
In the city,In the city,2024,Ilse Fisher,51,jazz
Storvindeln,Storvindeln,2023,Bladverk Band,46,jazz
Solfeggietto,Lighter Notes,2024,Luca Sestak,48,jazz
Autumn In New York,Autumn In New York,2022,Mayfare Trio,49,jazz
A Lonely Walk,A Lonely Walk,2024,Herman Fred Trio,49,jazz
Lately,Lately,2024,Thomas Bennett,49,jazz
Everyday I Have the Blues,Four Classic Albums Plus (B.B. King Sings Spirituals / King of the Blues / More B.B. King / Easy Listening Blues) (Digitally Remastered),2020,B.B. King,40,jazz
C'est si bon,Alone Together,2022,"Lara Louise, Mads Tolling",42,jazz
The Hills,The Hills,2024,Jaden Cohen,52,jazz
Square One,Square One,2024,Carmen Simmons,52,jazz
Walking talking fields,Walking talking fields,2023,Rossdale Junction,47,jazz
Estágio,Estágio,2023,da Suécia,42,jazz
My Foolishness,My Foolishness,2023,Franck Byrne,52,jazz
Woodland,Woodland,2024,Fred Hayes,51,jazz
Milano,Milano,2024,Ray Love,52,jazz
A Long Day,A Long Day,2023,Karl-Erik Trio,47,jazz
Quiet Sense (feat. Paolo Fresu),Quiet Sense (feat. Paolo Fresu),2021,"Triosence, Paolo Fresu",46,jazz
Últimamente,Últimamente,2022,Joanna Mason,49,jazz
When Your Lover Has Gone - Remastered,Golden Selection (Remastered),2021,Ben Webster,42,jazz
Feeling Good - triple j Like A Version,Feeling Good (triple j Like A Version),2024,RAYE,48,jazz
Astra,Astra,2024,Paulo Lucas,42,jazz
The Art of Letting Go,The Art of Letting Go,2023,Dries Riesen,48,jazz
Chase The Sun,Chase The Sun,2024,"Siberia, chromas",48,jazz
That's All,That's All,2024,Saginaw Society,49,jazz
Jazz Odyssey,Jazz Odyssey,2023,Red Brick Lane,47,jazz
Quebec,Quebec,2024,Lucas Collins,52,jazz
My Shining Hour,My Shining Hour,2023,Avery Miller,48,jazz
"Please, Stay","Please, Stay",2023,Hviid Larsen,48,jazz
Romancing,Romancing,2023,Foster Davies,48,jazz
Largo,Sunday,2021,"Portraits in Jazz, Nikolaj Hess, Claus Waidtløw",52,jazz
When You Come Home,When You Come Home,2024,Midnight Trio,47,jazz
Lesters's Tears,Lesters's Tears,2023,Tadd Norman,48,jazz
Trombone,Trombone,2021,"AronChupa, Little Sis Nora",47,jazz
The Rose Tattoo,My Reverie by Special Request,2022,"Harry Allen, Dave Blenkhorn, MIKE KARN, QUENTIN BAXTER",46,jazz
Everytime We Say Goodbye,Everytime We Say Goodbye,2023,Carl Bagge Trio,44,jazz
liMOusIne (feat. AURORA),POST HUMAN: NeX GEn,2024,"Bring Me The Horizon, AURORA",66,metal
Call Me Little Sunshine,IMPERA,2022,Ghost,65,metal
1x1 (feat. Nova Twins),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, Nova Twins",66,metal
Spillways,IMPERA,2022,Ghost,64,metal
Dicke Titten,Zeit,2022,Rammstein,66,metal
The Apparition,Take Me Back To Eden,2023,Sleep Token,70,metal
Casualty,From Zero,2024,Linkin Park,63,metal
The Emptiness Machine,The Emptiness Machine,2024,Linkin Park,78,metal
Overflow,From Zero,2024,Linkin Park,63,metal
CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022,Bad Omens,67,metal
Teardrops,POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,66,metal
Enter Sandman - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,83,metal
Gimme That Boom,Smile,2023,Skindred,63,metal
Angst,Zeit,2022,Rammstein,65,metal
Watch The World Burn,Watch The World Burn,2023,Falling In Reverse,66,metal
Prequel,Popular Monster,2024,Falling In Reverse,67,metal
Limits,Finding God Before God Finds Me (Deluxe),2020,Bad Omens,68,metal
IGYEIH,From Zero,2024,Linkin Park,63,metal
Dial Tone,Shame On Me,2023,Catch Your Breath,71,metal
Alkaline,This Place Will Become Your Tomb,2021,Sleep Token,72,metal
Fighting Myself,Meteora 20th Anniversary Edition,2023,Linkin Park,67,metal
Nowhere To Go,THE DEATH OF PEACE OF MIND,2022,Bad Omens,68,metal
New Divide,Papercuts,2024,Linkin Park,67,metal
Rain,Take Me Back To Eden,2023,Sleep Token,73,metal
Kool-Aid,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,67,metal
Lost,Lost,2023,Linkin Park,69,metal
Good Things Go,From Zero,2024,Linkin Park,66,metal
Antes del amanecer,Dios está borracho,2024,Lèpoka,48,metal
Sad But True - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,73,metal
Animals,For Those That Wish To Exist,2021,Architects,71,metal
Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, BABYMETAL",74,metal
Just Pretend,THE DEATH OF PEACE OF MIND,2022,Bad Omens,77,metal
Heavy Is the Crown,Heavy Is the Crown,2024,Linkin Park,72,metal
Mr. Crowley,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,76,metal
Like A Villain,THE DEATH OF PEACE OF MIND,2022,Bad Omens,73,metal
DArkSide,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,71,metal
Over Each Other,From Zero,2024,Linkin Park,69,metal
Wherever I May Roam - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,67,metal
The Summoning,Take Me Back To Eden,2023,Sleep Token,74,metal
Stained,From Zero,2024,Linkin Park,68,metal
Ronald,Popular Monster,2024,"Falling In Reverse, Tech N9ne, Alex Terrible",67,metal
THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022,Bad Omens,76,metal
Cut the Bridge,From Zero,2024,Linkin Park,69,metal
Watch The World Burn,Popular Monster,2024,Falling In Reverse,72,metal
The Emptiness Machine,From Zero,2024,Linkin Park,80,metal
Voices In My Head,Popular Monster,2024,Falling In Reverse,71,metal
Popular Monster,Popular Monster,2024,Falling In Reverse,73,metal
Two Faced,From Zero,2024,Linkin Park,72,metal
The Unforgiven - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,74,metal
Heavy Is the Crown,From Zero,2024,Linkin Park,77,metal
Giftig,Zeit,2022,Rammstein,61,metal
n/A,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,62,metal
Soldier of Heaven,The War to End All Wars,2022,Sabaton,62,metal
Ronald,Ronald,2024,"Falling In Reverse, Tech N9ne, Alex Terrible",62,metal
Two Faced,Two Faced,2024,Linkin Park,61,metal
The Writing on the Wall,Senjutsu,2021,Iron Maiden,54,metal
ANYTHING > HUMAN,CONCRETE JUNGLE [THE OST],2024,"Bad Omens, ERRA",62,metal
More the Victim,Meteora 20th Anniversary Edition,2023,Linkin Park,62,metal
Heartless Madness,The Dark Delight,2020,Dynazty,59,metal
Without Me,Dark Sun,2022,Dayseeker,66,metal
Zeit,Zeit,2022,Rammstein,61,metal
Misery,Remade In Misery,2022,Memphis May Fire,64,metal
Trigger Warning,Popular Monster,2024,Falling In Reverse,62,metal
Obey (with YUNGBLUD),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, YUNGBLUD",63,metal
I Don't Know,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,62,metal
Protect The Land,Protect The Land / Genocidal Humanoidz,2020,System Of A Down,60,metal
The Dying Song (Time To Sing),"The End, So Far",2022,Slipknot,61,metal
Mea Culpa (Ah! Ça ira!),Mea Culpa (Ah! Ça ira!),2024,"Gojira, Marina Viotti, Victor Le Masne",61,metal
One Night In Tokyo,Dark Connection,2021,Beast In Black,58,metal
Top 10 staTues tHat CriEd bloOd,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,64,metal
NO FEAR,Popular Monster,2024,Falling In Reverse,62,metal
Glass Heart,Lost Souls,2021,Caskets,64,metal
CODE MISTAKE,CODE MISTAKE,2023,"CORPSE, Bring Me The Horizon",64,metal
Killed by Death,All the Aces,2022,Motörhead,56,metal
Glitch,Darker Still,2022,Parkway Drive,60,metal
Suicide Solution,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,62,metal
ARTIFICIAL SUICIDE,THE DEATH OF PEACE OF MIND,2022,Bad Omens,66,metal
Hypnosis,This Place Will Become Your Tomb,2021,Sleep Token,67,metal
Never Know,Finding God Before God Finds Me (Deluxe),2020,Bad Omens,63,metal
Fed Up,ANTI-ICON,2020,Ghostemane,65,metal
Darkness At The Heart Of My Love,IMPERA,2022,Ghost,63,metal
Armee der Tristen,Zeit,2022,Rammstein,64,metal
Best Time,Helloween,2021,Helloween,48,metal
72 Seasons,72 Seasons,2023,Metallica,55,metal
LosT,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,65,metal
Holier Than Thou - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,57,metal
Zick Zack,Zeit,2022,Rammstein,61,metal
The Grey,THE DEATH OF PEACE OF MIND,2022,Bad Omens,65,metal
can u see me in the dark?,can u see me in the dark?,2024,"Halestorm, I Prevail",66,metal
Granite,Take Me Back To Eden,2023,Sleep Token,71,metal
Black Hole,Darkbloom,2022,"We Came As Romans, Caleb Shomo",66,metal
Lux Æterna,72 Seasons,2023,Metallica,58,metal
Chokehold,Take Me Back To Eden,2023,Sleep Token,70,metal
Left Behind,Vol. 1,2024,The Plot In You,69,metal
Parasite Eve,POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,65,metal
Don't Tread on Me - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,59,metal
Stormtroopers,The War to End All Wars,2022,Sabaton,64,metal
Lost,Meteora 20th Anniversary Edition,2023,Linkin Park,65,metal
Contra Viento y Marea,El Baile de los Caídos,2020,Lèpoka,41,metal
El Agua Del Tejo,El Agua Del Tejo,2024,Salduie,48,metal
DArkSide,DArkSide,2023,Bring Me The Horizon,58,metal
a bulleT w/ my namE On (feat. Underoath),POST HUMAN: NeX GEn,2024,"Bring Me The Horizon, Underoath",59,metal
Pain Remains I: Dancing Like Flames,Pain Remains,2022,Lorna Shore,63,metal
QWERTY,Papercuts,2024,Linkin Park,56,metal
Divide,Vol. 1,2024,The Plot In You,65,metal
Goodbye to Romance,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,60,metal
Hangfire,What If I Break?,2023,Wind Walkers,65,metal
Genesis,Ohms,2020,Deftones,61,metal
Patient Number 9 (feat. Jeff Beck),Patient Number 9 (feat. Jeff Beck),2022,"Ozzy Osbourne, Jeff Beck",59,metal
Yen,"The End, So Far",2022,Slipknot,59,metal
There’s Fear In Letting Go,TRUE POWER,2022,I Prevail,63,metal
Vore,Take Me Back To Eden,2023,Sleep Token,65,metal
Over Each Other,Over Each Other,2024,Linkin Park,59,metal
Atlantic,This Place Will Become Your Tomb,2021,Sleep Token,65,metal
Meet Your Maker,Foregone,2023,In Flames,57,metal
Screaming Suicide,72 Seasons,2023,Metallica,53,metal
bad decisions,THE DEATH OF PEACE OF MIND,2022,Bad Omens,62,metal
